customer_id,age,gender,country,signup_date,last_purchase_date,num_orders,total_spent,avg_order_value,recency_days,is_premium_member,device_type,preferred_category,churned
10001,56.0,Male,India,2022-01-27,2024-04-27,10,13273.25,1327.32,522,0,,Home,0
10002,69.0,Other,UK,2025-01-12,2025-08-01,10,,308.9,61,0,Mobile,Grocery,0
10003,46.0,Female,USA,2021-04-25,2021-06-01,5,3411.83,682.37,1583,0,,,0
10004,32.0,Male,India,2021-02-23,2023-09-22,5,4502.0,900.4,740,0,,,0
10005,60.0,Female,India,2021-06-07,2021-12-11,7,3842.1,548.87,1390,0,Tablet,Books,0
10006,25.0,Female,,2021-12-04,2024-11-18,5,5741.74,1148.35,317,1,Desktop,Sports,0
10007,38.0,Female,India,2024-01-04,2024-01-23,2,0.0,0.0,617,0,Mobile,Fashion,1
10008,56.0,Male,Australia,2022-06-29,2023-03-28,3,5651.3,1883.77,918,0,Desktop,Fashion,0
10009,36.0,Male,India,2020-11-20,2024-01-06,10,21143.18,2114.32,634,0,Mobile,Electronics,0
10010,40.0,Female,India,2024-06-30,2024-09-08,7,14698.44,2099.78,388,0,Desktop,Home,0
10011,,Female,India,2023-01-07,2024-06-05,4,2627.48,656.87,483,0,Mobile,Grocery,0
10012,,Female,Germany,2022-03-08,2025-08-03,6,11266.42,1877.74,59,0,Mobile,Books,0
10013,41.0,Male,Australia,2023-11-02,2025-04-10,9,5920.03,657.78,174,0,Mobile,Books,0
10014,53.0,Female,Germany,2024-12-04,2024-12-06,4,,719.6,299,1,Desktop,Electronics,0
10015,57.0,Female,UK,2021-06-30,2022-05-31,9,4969.91,552.21,1219,0,Mobile,Books,0
10016,41.0,Male,India,2021-05-12,2023-04-09,9,12739.01,1415.45,906,0,Mobile,Home,0
10017,,Male,India,2022-05-09,2025-04-21,10,16042.63,1604.26,163,0,Mobile,Electronics,0
10018,39.0,Female,Australia,2022-09-02,2024-01-14,8,6549.74,818.72,626,0,Mobile,Home,0
10019,19.0,Female,Germany,2024-03-27,2025-09-13,5,0.0,0.0,18,1,Mobile,Electronics,0
10020,41.0,Male,USA,2024-12-18,2025-05-28,6,10555.9,1759.32,126,1,Mobile,Books,0
10021,61.0,Male,Germany,2022-06-29,2024-02-12,4,8870.55,2217.64,597,0,Mobile,Electronics,0
10022,47.0,Male,UK,2024-01-20,2024-06-26,4,0.0,0.0,462,1,Mobile,Fashion,0
10023,55.0,Male,USA,2022-12-31,2023-07-06,10,90530.16,9053.02,818,1,Mobile,Grocery,0
10024,19.0,Female,Australia,2025-08-27,2025-09-14,4,5284.79,1321.2,17,1,Mobile,Books,0
10025,38.0,Female,Canada,2023-09-19,2024-08-02,4,5780.18,1445.04,425,0,Mobile,Sports,0
10026,50.0,,USA,2020-12-02,2021-06-30,7,2724.97,389.28,1554,0,Tablet,Grocery,0
10027,29.0,Female,UK,2024-10-14,2025-03-14,3,9162.84,3054.28,201,0,Mobile,Books,0
10028,39.0,Female,,2021-02-05,2024-03-13,8,,832.31,567,1,Desktop,Grocery,0
10029,61.0,Female,USA,2025-07-21,2025-08-19,8,,1252.71,43,0,Desktop,,0
10030,42.0,Female,India,2023-12-24,2024-11-01,7,3893.57,556.22,334,0,Mobile,Grocery,0
10031,66.0,Male,USA,2021-12-25,2024-09-17,5,6972.29,1394.46,379,0,Mobile,Electronics,0
10032,44.0,Male,Australia,2022-10-04,2025-04-17,4,0.0,0.0,167,0,Desktop,Grocery,0
10033,59.0,Female,USA,2024-08-03,2025-07-24,0,0.0,0.0,69,0,Mobile,Books,0
10034,45.0,Female,India,2023-01-07,2024-12-10,4,8054.74,2013.68,295,1,Mobile,Sports,0
10035,33.0,Male,India,2023-10-25,2023-11-12,2,1591.56,795.78,689,0,Mobile,Sports,1
10036,32.0,Female,India,2020-10-23,2021-12-28,4,1169.01,292.25,1373,1,Mobile,Home,0
10037,64.0,,UK,2024-03-20,2025-03-04,8,9283.42,1160.43,211,0,Desktop,Grocery,0
10038,68.0,Male,India,2023-06-27,2023-12-26,5,7647.95,1529.59,645,0,Mobile,Sports,0
10039,61.0,Female,India,2021-03-11,2021-07-01,8,8058.99,1007.37,1553,0,Mobile,Grocery,0
10040,69.0,Other,India,2023-02-19,2023-08-20,6,7301.4,1216.9,773,0,Mobile,Sports,0
10041,20.0,Other,Germany,2024-05-03,2025-08-26,4,8144.12,2036.03,36,0,Mobile,Grocery,0
10042,54.0,Male,UK,2024-07-31,2024-12-23,9,6909.37,767.71,282,0,Mobile,Books,0
10043,68.0,Female,India,2021-06-22,2023-09-30,6,68591.39,11431.9,732,0,Mobile,Grocery,0
10044,24.0,Female,India,2025-04-25,2025-08-18,6,15568.16,2594.69,44,1,Desktop,Books,0
10045,38.0,Female,India,2025-05-06,2025-08-26,4,1536.72,384.18,36,0,Mobile,Books,0
10046,26.0,Other,USA,2023-08-18,2025-09-18,2,0.0,0.0,13,0,Desktop,Home,0
10047,56.0,Female,USA,2022-04-27,2023-08-15,6,5547.64,924.61,778,0,Mobile,Sports,0
10048,35.0,Female,India,2020-12-31,2023-02-01,9,16915.07,1879.45,973,0,Mobile,Electronics,0
10049,21.0,Female,USA,2021-05-30,2025-01-15,3,5016.17,1672.06,259,0,Mobile,Books,0
10050,42.0,Female,India,2025-07-27,2025-09-21,2,3463.82,1731.91,10,0,Mobile,Sports,0
10051,31.0,Male,Canada,2022-12-23,2023-04-19,4,4996.53,1249.13,896,0,Mobile,Fashion,0
10052,67.0,,India,2024-09-16,2025-07-13,7,7548.23,1078.32,80,0,Mobile,Grocery,0
10053,26.0,Male,India,2025-08-05,2025-09-06,4,1987.46,496.86,25,0,,Fashion,0
10054,43.0,Female,India,2022-03-29,2023-05-03,4,6649.49,1662.37,882,1,Desktop,Grocery,0
10055,19.0,Male,USA,2024-10-25,2025-05-10,8,6640.24,830.03,144,0,Mobile,Home,0
10056,37.0,Female,Germany,2022-08-05,2024-05-25,5,6214.05,1242.81,494,0,Mobile,Books,0
10057,45.0,Male,India,2023-10-06,2023-11-21,8,12047.97,1506.0,680,1,Mobile,Electronics,0
10058,64.0,Female,USA,2022-06-24,2023-07-27,4,,0.0,797,0,Mobile,,0
10059,24.0,Female,UK,2023-08-24,2025-08-02,6,5436.74,906.12,60,0,Mobile,Grocery,0
10060,61.0,Female,India,2024-01-27,2025-08-07,6,6839.7,1139.95,55,0,Mobile,Electronics,0
10061,25.0,Male,India,2022-05-18,2022-08-03,3,5803.2,1934.4,1155,0,Desktop,Books,0
10062,64.0,Female,Canada,2024-10-13,2025-02-13,7,1275.39,182.2,230,0,Desktop,Electronics,0
10063,52.0,Female,,2021-08-29,2021-11-11,8,13380.73,1672.59,1420,0,Mobile,Grocery,0
10064,31.0,,India,2020-10-06,2021-02-19,11,13618.83,1238.08,1685,1,Mobile,Home,0
10065,34.0,Female,Australia,2025-06-08,2025-09-05,8,13989.35,1748.67,26,1,Mobile,Home,0
10066,53.0,Female,India,2022-03-24,2024-07-07,3,1541.66,513.89,451,0,Desktop,Books,0
10067,67.0,Male,,2023-12-10,2025-04-27,6,5988.35,998.06,157,0,Mobile,Fashion,0
10068,57.0,Female,India,2021-09-27,2023-02-08,3,6513.52,2171.17,966,0,Mobile,Grocery,0
10069,,Male,Australia,2021-06-13,2021-10-28,6,5685.76,947.63,1434,0,Desktop,Books,0
10070,19.0,Male,India,2024-07-06,2024-08-24,9,18550.45,2061.16,403,0,Mobile,,0
10071,23.0,Male,India,2021-08-23,2024-04-21,5,7905.71,1581.14,528,0,Mobile,Home,0
10072,59.0,Male,India,2024-12-19,2025-04-04,2,4273.57,2136.78,180,0,,,0
10073,21.0,Male,India,2022-02-13,2022-10-24,8,14987.4,1873.42,1073,0,Mobile,Grocery,0
10074,46.0,Female,India,2022-12-20,2024-09-09,9,10581.94,1175.77,387,1,Mobile,Electronics,0
10075,35.0,Female,India,2024-11-25,2025-06-10,5,8515.38,1703.08,113,0,Mobile,Sports,0
10076,43.0,Female,USA,2025-03-08,2025-05-27,7,5893.1,841.87,127,1,Mobile,Sports,0
10077,61.0,Female,India,2024-01-23,2025-08-07,7,,529.53,55,1,Mobile,Grocery,0
10078,51.0,Female,India,2024-07-13,2025-03-14,2,5349.8,2674.9,201,0,Desktop,Fashion,1
10079,27.0,Female,India,2023-12-02,2025-01-30,5,7128.38,1425.68,244,1,Mobile,Sports,0
10080,53.0,Male,India,2024-01-08,2025-07-07,2,1594.4,797.2,86,0,Mobile,Home,0
10081,31.0,Male,India,2025-08-08,2025-09-22,9,10602.61,1178.07,9,0,Mobile,Fashion,0
10082,48.0,Male,UK,2023-04-04,2024-11-04,10,20517.18,2051.72,331,0,Desktop,Books,0
10083,65.0,Male,India,2022-12-01,2023-01-18,6,3585.91,597.65,987,0,Desktop,Sports,0
10084,32.0,Female,India,2023-12-15,2024-02-26,6,9200.96,1533.49,583,0,Mobile,Home,0
10085,,Male,India,2021-11-08,2023-10-12,13,19396.93,1492.07,720,0,Mobile,Books,0
10086,31.0,Female,Canada,2021-03-05,2021-11-20,10,12055.9,1205.59,1411,0,Desktop,Fashion,0
10087,40.0,Other,UK,2023-01-26,2024-01-16,5,5336.92,1067.38,624,0,Mobile,Grocery,0
10088,57.0,Female,USA,2024-05-05,2025-01-19,8,14338.43,1792.3,255,0,,Books,0
10089,38.0,Male,India,2021-02-25,2022-11-24,7,5785.66,826.52,1042,0,Desktop,Electronics,0
10090,33.0,Male,Canada,2021-06-19,2023-07-01,7,7276.69,1039.53,823,0,Mobile,Grocery,0
10091,62.0,Female,India,2025-02-07,2025-03-17,5,,717.2,198,0,Tablet,Grocery,0
10092,35.0,Female,India,2022-03-09,2024-12-12,4,3192.89,798.22,293,0,Desktop,Fashion,0
10093,64.0,Male,India,2024-10-19,2025-02-24,6,4700.52,783.42,219,0,Mobile,Fashion,0
10094,41.0,Female,India,2024-01-14,2024-11-21,4,2006.15,501.54,314,1,Desktop,Home,0
10095,43.0,Male,Australia,2022-08-31,2024-05-03,7,3973.2,567.6,516,0,Desktop,Home,0
10096,42.0,Male,Germany,2024-01-11,2024-07-10,4,5519.29,1379.82,448,0,Mobile,Electronics,0
10097,62.0,Male,India,2021-07-14,2023-05-30,6,6789.54,1131.59,855,0,Mobile,Grocery,0
10098,58.0,Male,USA,2022-04-09,2022-10-13,5,1848.76,369.75,1084,1,Mobile,Electronics,0
10099,46.0,Other,Australia,2024-10-03,2024-11-28,5,1319.01,263.8,307,0,Mobile,Electronics,0
10100,32.0,Female,Canada,2024-11-15,2024-12-15,3,2915.11,971.7,290,0,Desktop,Fashion,0
10101,,Male,USA,2021-03-20,2025-08-25,4,4505.44,1126.36,37,0,Mobile,Electronics,0
10102,18.0,Female,Canada,2024-12-20,2025-05-20,10,11909.4,1190.94,134,0,Mobile,Electronics,0
10103,42.0,,Australia,2025-05-06,2025-06-10,8,7348.12,918.52,113,0,Mobile,Books,0
10104,24.0,Female,UK,2022-09-20,2024-09-13,2,2108.47,1054.23,383,0,Desktop,Home,1
10105,26.0,Male,,2024-08-22,2025-08-20,7,4286.05,612.29,42,1,Mobile,Home,0
10106,41.0,Male,India,2023-01-28,2024-10-06,2,4657.91,2328.96,360,0,Mobile,Grocery,1
10107,18.0,Male,Canada,2024-07-03,2025-08-20,6,,1158.77,42,0,Mobile,Home,0
10108,61.0,Male,India,2020-11-30,2024-08-26,6,7505.56,1250.93,401,1,,Sports,0
10109,25.0,Male,Canada,2023-07-25,2024-02-29,3,3959.11,1319.7,580,0,Mobile,Grocery,0
10110,41.0,Female,India,2022-07-05,2024-12-23,3,,896.23,282,1,Mobile,Books,0
10111,28.0,Male,India,2022-12-24,2023-06-04,11,15131.63,1375.6,850,0,Mobile,Home,0
10112,68.0,Male,India,2023-08-10,2024-03-16,7,9926.08,1418.01,564,1,Mobile,Books,0
10113,34.0,Male,India,2024-06-29,2025-03-25,8,8422.14,1052.77,190,0,Desktop,Home,0
10114,25.0,Male,Australia,2021-06-11,2023-03-04,7,2654.02,379.15,942,1,Mobile,Home,0
10115,52.0,Male,Canada,2021-07-31,2024-01-22,3,7926.76,2642.25,618,1,Mobile,Books,0
10116,52.0,Male,Germany,2023-09-25,2024-10-28,4,5887.67,1471.92,338,0,Mobile,Electronics,0
10117,50.0,Male,USA,2024-05-11,2024-11-08,4,3640.07,910.02,327,0,Mobile,Electronics,0
10118,22.0,Male,India,2021-02-27,2025-08-26,6,5459.03,909.84,36,0,Mobile,Electronics,0
10119,59.0,Male,India,2024-06-08,2025-01-10,5,8290.35,1658.07,264,1,Mobile,Sports,0
10120,56.0,Female,USA,2021-02-18,2021-09-10,11,5255.45,477.77,1482,0,Mobile,Electronics,0
10121,58.0,Male,India,2025-06-10,2025-08-18,10,15813.99,1581.4,44,0,Mobile,Home,0
10122,45.0,Male,India,2023-09-14,2025-03-22,5,977.72,195.54,193,0,Mobile,Fashion,0
10123,24.0,Male,India,2021-05-14,2023-09-01,1,0.0,0.0,761,0,Desktop,Books,1
10124,26.0,Female,India,2024-10-06,2025-08-02,5,1400.25,280.05,60,0,Mobile,Fashion,0
10125,25.0,Male,,2024-10-26,2025-06-10,4,6949.59,1737.4,113,1,Mobile,Sports,0
10126,,Female,Canada,2023-08-24,2025-07-19,4,6671.99,1668.0,74,0,Mobile,Fashion,0
10127,51.0,Female,India,2023-09-02,2025-05-12,7,12777.09,1825.3,142,1,Mobile,Grocery,0
10128,50.0,Male,USA,2023-02-06,2024-09-23,9,18116.98,2013.0,373,0,Mobile,Electronics,0
10129,,Female,,2024-07-10,2025-06-12,4,8351.2,2087.8,111,0,Mobile,Sports,0
10130,40.0,Female,India,2023-06-20,2024-02-24,6,24921.45,4153.58,585,0,Mobile,Home,0
10131,41.0,Male,Canada,2022-06-16,2024-11-06,6,5068.72,844.79,329,0,Mobile,Electronics,0
10132,,Male,Canada,2021-01-10,2025-01-13,5,2588.43,517.69,261,1,Mobile,Electronics,0
10133,52.0,Female,India,2021-11-01,2022-05-15,8,10264.39,1283.05,1235,1,Desktop,Fashion,0
10134,61.0,Female,India,2021-02-15,2023-01-05,6,10907.08,1817.85,1000,0,,Grocery,0
10135,57.0,Other,India,2022-05-31,2025-05-28,4,,280.55,126,0,Mobile,Electronics,0
10136,39.0,Male,India,2021-09-03,2023-06-03,7,1503.48,214.78,851,0,Desktop,Books,0
10137,44.0,Female,India,2024-11-25,2025-05-03,5,10255.22,2051.04,151,1,Mobile,Books,0
10138,52.0,Male,Canada,2025-01-13,2025-09-17,2,1259.04,629.52,14,1,Mobile,Electronics,0
10139,18.0,Female,India,2021-10-20,2025-02-27,2,0.0,0.0,216,1,Mobile,Fashion,1
10140,52.0,Female,India,2024-08-22,2025-01-16,10,7441.11,744.11,258,0,Mobile,Fashion,0
10141,54.0,Male,Australia,2025-05-12,2025-09-08,10,12100.94,1210.09,23,0,Mobile,Home,0
10142,,Male,,2024-10-25,2025-03-15,7,11870.4,1695.77,200,0,Desktop,Sports,0
10143,31.0,,India,2022-01-31,2025-09-28,6,,855.59,3,0,Mobile,Sports,0
10144,20.0,Male,India,2022-09-03,2023-02-14,6,7445.86,1240.98,960,0,Mobile,Sports,0
10145,18.0,Male,India,2025-01-31,2025-03-29,6,2970.11,495.02,186,0,Desktop,Grocery,0
10146,22.0,Female,UK,2024-05-30,2024-06-19,8,8492.45,1061.56,469,0,Desktop,Fashion,0
10147,43.0,Female,India,2025-09-20,2025-09-21,4,4074.47,1018.62,10,1,Mobile,Home,0
10148,31.0,Female,India,2022-04-18,2025-06-15,3,1031.51,343.84,108,1,Mobile,Books,0
10149,56.0,Female,Australia,2024-03-20,2025-01-18,6,13982.63,2330.44,256,0,Mobile,Sports,0
10150,44.0,Female,India,2025-08-21,2025-09-08,7,4190.5,598.64,23,0,Mobile,Books,0
10151,26.0,Female,Canada,2023-11-24,2024-11-28,7,6982.69,997.53,307,0,Mobile,Books,0
10152,32.0,Female,Australia,2024-02-16,2025-03-05,2,2538.47,1269.23,210,1,Mobile,Electronics,1
10153,32.0,Male,India,2021-10-10,2022-12-28,6,7472.3,1245.38,1008,1,Desktop,Grocery,0
10154,43.0,Male,Canada,2022-07-08,2023-09-05,8,17523.65,2190.46,757,1,Mobile,Home,0
10155,59.0,Male,India,2022-05-11,2022-10-18,11,8571.54,779.23,1079,1,Mobile,,0
10156,30.0,Male,Canada,2021-02-11,2024-05-27,8,6381.66,797.71,492,0,Mobile,Electronics,0
10157,68.0,Male,USA,2021-09-07,2023-05-28,9,13277.2,1475.24,857,0,Mobile,Home,0
10158,49.0,Male,USA,2025-05-21,2025-09-24,5,7120.96,1424.19,7,0,Mobile,Home,0
10159,56.0,Female,India,2022-10-07,2024-02-08,4,6608.8,1652.2,601,0,Mobile,Fashion,0
10160,66.0,Female,Canada,2022-12-06,2025-09-17,10,5233.71,523.37,14,1,Desktop,Grocery,0
10161,69.0,Male,UK,2023-02-27,2024-01-19,5,6219.5,1243.9,621,0,Mobile,Grocery,0
10162,49.0,Male,India,2021-07-05,2023-02-22,2,2072.54,1036.27,952,0,Mobile,Fashion,1
10163,21.0,Male,Canada,2025-07-21,2025-08-22,9,3431.49,381.28,40,0,Mobile,Books,0
10164,47.0,Female,India,2024-08-29,2024-11-17,8,8358.45,1044.81,318,1,Mobile,Electronics,0
10165,54.0,Male,India,2021-11-03,2023-05-29,6,3417.41,569.57,856,0,Mobile,Grocery,0
10166,40.0,Female,India,2021-02-06,2024-11-14,3,3307.69,1102.56,321,0,Desktop,Fashion,0
10167,56.0,Male,India,2024-03-03,2024-03-30,3,5017.62,1672.54,550,0,Tablet,Home,0
10168,,Female,India,2023-05-27,2023-07-08,8,8135.6,1016.95,816,0,Mobile,Sports,0
10169,32.0,Other,Australia,2025-05-25,2025-08-18,4,7327.62,1831.9,44,0,Mobile,Fashion,0
10170,60.0,Male,India,2023-03-16,2023-09-08,3,,899.87,754,1,Desktop,Sports,0
10171,46.0,Female,UK,2021-09-03,2023-02-13,4,3006.07,751.52,961,0,Mobile,Books,0
10172,53.0,Female,India,2022-05-21,2025-01-10,6,8370.9,1395.15,264,1,Mobile,Electronics,0
10173,30.0,Female,Canada,2020-10-16,2024-12-11,5,10087.81,2017.56,294,0,Mobile,Sports,0
10174,49.0,Male,Australia,2020-11-05,2021-05-21,7,8980.55,1282.94,1594,0,Desktop,Books,0
10175,,Female,India,2025-01-09,2025-04-16,10,17089.84,1708.98,168,1,Mobile,Sports,0
10176,68.0,Female,Canada,2021-06-24,2023-10-13,8,9561.88,1195.23,719,0,Desktop,Home,0
10177,39.0,Female,India,2023-08-01,2024-12-29,7,5529.24,789.89,276,0,Desktop,Home,0
10178,45.0,Female,Germany,2025-01-22,2025-01-23,5,4952.73,990.55,251,1,Mobile,Home,0
10179,19.0,Female,India,2023-07-03,2023-07-24,5,6319.1,1263.82,800,0,Desktop,Home,0
10180,59.0,Other,Canada,2022-02-27,2025-04-07,6,9064.69,1510.78,177,1,Desktop,Fashion,0
10181,62.0,Female,India,2025-04-21,2025-06-16,6,8379.58,1396.6,107,0,Mobile,Home,0
10182,23.0,Female,USA,2025-06-29,2025-09-02,3,1975.76,658.59,29,0,Mobile,Home,0
10183,45.0,Female,Germany,2020-10-22,2023-02-10,7,13006.23,1858.03,964,0,Mobile,Fashion,0
10184,45.0,Male,India,2023-06-22,2023-09-27,4,4198.07,1049.52,735,1,Mobile,Home,0
10185,61.0,Female,India,2022-08-25,2023-11-02,7,7573.61,1081.94,699,0,Mobile,Books,0
10186,61.0,Female,India,2024-10-31,2025-03-04,6,4557.19,759.53,211,1,Mobile,Books,0
10187,37.0,,,2023-07-03,2025-05-11,7,6045.51,863.64,143,1,Mobile,Grocery,0
10188,47.0,Female,USA,2025-02-06,2025-05-02,4,3283.38,820.84,152,0,Desktop,Books,0
10189,28.0,Male,India,2024-09-16,2024-11-30,3,4638.69,1546.23,305,0,Mobile,Electronics,0
10190,45.0,Female,India,2021-10-03,2022-09-11,4,0.0,0.0,1116,0,Mobile,Electronics,0
10191,42.0,Female,India,2023-04-17,2024-02-04,6,11323.07,1887.18,605,0,Mobile,Electronics,0
10192,56.0,Female,Germany,2024-06-06,2025-08-23,5,3155.33,631.07,39,0,Mobile,Fashion,0
10193,50.0,Male,India,2023-04-14,2024-11-04,5,7303.34,1460.67,331,0,Mobile,Books,0
10194,18.0,Female,India,2022-11-18,2024-07-20,12,16493.51,1374.46,438,1,Mobile,Electronics,0
10195,44.0,Female,India,2021-02-28,2021-10-28,6,13244.09,2207.35,1434,1,Mobile,Grocery,0
10196,69.0,Male,India,2022-08-18,2024-02-29,4,3693.09,923.27,580,1,Desktop,Fashion,0
10197,30.0,Male,Canada,2024-06-07,2025-08-28,6,8274.03,1379.0,34,1,Desktop,Grocery,0
10198,58.0,Female,,2021-11-16,2021-12-17,6,1975.64,329.27,1384,0,Mobile,Books,0
10199,20.0,Male,India,2023-03-30,2024-04-23,9,7377.26,819.7,526,0,Desktop,Home,0
10200,,,Germany,2023-01-12,2023-10-15,9,2544.02,282.67,717,1,Desktop,Grocery,0
